formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C37H61NO9	[M + H]+	C37H62NO9+	Polyketides	0.929	Macrolides	0.959	Erythromycins	0.705	Organic acids and derivatives	0.941	Carboxylic acids and derivatives	0.932	Amino acids, peptides, and analogues	0.542	Amino acids and derivatives	0.536	Amino acids and derivatives	0.536	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	664.437	490	8.164	703063892869457519	703045728223168325	2721	
1	C30H60O8	[M + Na]+	C30H60NaO8+	Fatty acids	0.799	Fatty esters	0.157	Dicarboxylic acids	0.229	Lipids and lipid-like molecules	0.914	Fatty Acyls	0.829	Fatty acid esters	0.591			Fatty acid esters	0.591	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	571.418	490	8.166	703063936871902378	703045728143476539	2719	
1	C30H60O8	[M + H]+	C30H61O8+	Polyketides	0.528	Steroids	0.172	Open-chain polyketides	0.212	Lipids and lipid-like molecules	0.823							Lipids and lipid-like molecules	0.823	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	549.436	490	8.166	703063931847125901	703045728252528458	2722	
1	C30H63NO8	[M + H]+	C30H64NO8+	Fatty acids	0.935	Spingolipids	0.440	Sphingoid bases	0.337	Lipids and lipid-like molecules	0.712	Fatty Acyls	0.571	Fatty amides	0.509			Fatty amides	0.509	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary alcohols; Carbonyl compounds; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	566.463	490	8.166	703063914843416904	703045728311248724	2724	
2	C46H72N6O6	[M + H]+	C46H73N6O6+	Amino acids and Peptides	0.629	Oligopeptides	0.932	Cyclic peptides	0.194	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.953	Amino acids and derivatives	0.945	Alpha amino acids and derivatives	0.871	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	805.564	491	8.178	703063913245386967	703045728357386073	2726	
8	C46H80N4O10	[M + H]+	C46H81N4O10+	Polyketides	0.568	Oligopeptides	0.717	Depsipeptides	0.256	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.902	Amino acids and derivatives	0.894	Amino acids and derivatives	0.894	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	849.590	491	8.178	703063920669305306	703045728386746206	2727	
3	C33H57N5O6	[M + Na]+	C33H57N5NaO6+	Amino acids and Peptides	0.948	Oligopeptides	0.956	Cyclic peptides	0.586	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.884	Amino acids and derivatives	0.861	Alpha amino acids and derivatives	0.845	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	642.424	491	8.188	703063925324982854	703045728533546871	2732	
3	C36H64O10	[M + H]+	C36H65O10+	Terpenoids	0.932	Steroids	0.783	Cholane steroids	0.291	Lipids and lipid-like molecules	0.976	Steroids and steroid derivatives	0.836	Bile acids, alcohols and derivatives	0.708	Hydroxy bile acids, alcohols and derivatives	0.563	Hydroxy bile acids, alcohols and derivatives	0.563	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Hydroxy bile acids, alcohols and derivatives; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	657.454	491	8.188	703063908782647347	703045728504186738	2731	
1	C28H56O7	[M + Na]+	C28H56NaO7+	Terpenoids	0.489	Steroids	0.187	Cholane steroids	0.157	Lipids and lipid-like molecules	0.910	Fatty Acyls	0.718					Fatty Acyls	0.718	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	527.392	491	8.189	703063933801671701	703045728416106339	2728	
1	C29H55N5O3	[M + H]+	C29H56N5O3+	Alkaloids	0.469	Tryptophan alkaloids	0.064	Carboline alkaloids	0.041	Organic acids and derivatives	0.912	Carboxylic acids and derivatives	0.869	Amino acids, peptides, and analogues	0.811	Amino acids and derivatives	0.805	Alpha amino acids and derivatives	0.569	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Phenol ethers; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	522.437	491	8.189	703063933570984947	703045728474826605	2730	
1	C28H56O7	[M + H]+	C28H57O7+	Fatty acids	0.621	Diterpenoids	0.187	Wax monoesters	0.060	Lipids and lipid-like molecules	0.864	Fatty Acyls	0.680	Fatty acid esters	0.531			Fatty acid esters	0.531	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	505.410	491	8.189	703063937995976061	703045728562907004	2735	
1	C21H44O3	[M + H]+	C21H45O3+	Fatty acids	1.000	Glycerolipids	1.000	Monoacylglycerols	0.999	Lipids and lipid-like molecules	0.987	Glycerolipids	1.000	Diradylglycerols	0.372	Dialkylglycerols	0.635	Dialkylglycerols	0.635	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Polyols; Glycerol ethers; Monoalkylglycerols; Monoradylglycerols; Dialkylglycerols; Hydrocarbon derivatives; 1-O-alkylglycerols; Organic oxygen compounds; Chemical entities	345.337	491	8.189	703063937891118430	703045728650987403	2738	
1	C26H52O6	[M + H]+	C26H53O6+	Fatty acids	0.978	Glycerolipids	0.841	Monoacylglycerols	0.498	Lipids and lipid-like molecules	0.935	Fatty Acyls	0.841	Fatty acid esters	0.656			Fatty acid esters	0.656	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	461.383	492	8.204	703063938373463498	703045728680347536	2739	
2	C27H51N5O2	[M + H]+	C27H52N5O2+	Fatty acids	0.430	Guanidine alkaloids	0.624	Acyclic guanidine alkaloids	0.398	Lipids and lipid-like molecules	0.953	Fatty Acyls	0.951	Fatty amides	0.936	N-acyl amines	0.915	N-acyl amines	0.915	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	478.410	492	8.204	703063939199741526	703045728801982362	2741	
1	C33H59NO8	[M + Na]+	C33H59NNaO8+	Amino acids and Peptides	0.474	Linear polyketides	0.383	Open-chain polyketides	0.331	Lipids and lipid-like molecules	0.786	Fatty Acyls	0.731					Fatty Acyls	0.731	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	620.411	493	8.211	703063950415310820	703045728726484885	2740	
1	C24H48O5	[M + H]+	C24H49O5+	Fatty acids	0.989	Glycerolipids	0.792	Wax monoesters	0.339	Lipids and lipid-like molecules	0.946	Fatty Acyls	0.868	Fatty acid esters	0.572			Fatty acid esters	0.572	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	417.358	493	8.213	703063952093032542	703045729041057715	2750	
1	C24H51NO5	[M + H]+	C24H52NO5+	Fatty acids	1.000	Fatty amides	0.973	Sphingoid bases	0.675	Lipids and lipid-like molecules	0.916	Fatty Acyls	0.931	Fatty amides	0.868	N-acyl amines	0.797	N-acyl amines	0.797	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	434.384	494	8.228	703063958350934287	703045729083000760	2751	
2	C28H51N7O7	[M + H]+	C28H52N7O7+	Amino acids and Peptides	0.978	Oligopeptides	0.995	Linear peptides	0.248	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.990	Peptides	0.740	Peptides	0.740	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	598.396	494	8.235	703063976998810695	703045729292715970	2753	
1	C29H54O7	[M + H]+	C29H55O7+	Fatty acids	0.937	Glycerolipids	0.712	Wax diesters	0.359	Lipids and lipid-like molecules	0.902	Glycerolipids	0.536	Triradylcglycerols	0.567			Triradylcglycerols	0.567	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	515.395	494	8.236	703063967746175856	703045729334659015	2754	
2	C30H50N4O3	[M + Na]+	C30H50N4NaO3+	Alkaloids	0.877	Pseudoalkaloids (transamidation)	0.129	Tropane alkaloids	0.041	Organic acids and derivatives	0.893	Carboxylic acids and derivatives	0.898	Amino acids, peptides, and analogues	0.792	Amino acids and derivatives	0.790	Amino acids and derivatives	0.790	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	537.377	494	8.236	703063982451406464	703045729380796364	2755	
1	C22H44O4	[M + H]+	C22H45O4+	Fatty acids	0.663	Glycerolipids	0.237	Fatty alcohols	0.139	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.993	Polyethylene glycols	0.893	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	373.332	494	8.236	703063982208136767	703045729603094501	2760	
1	C51H98O11	[M + Na]+	C51H98NaO11+	Polyketides	0.732	Glycerolipids	0.562	Open-chain polyketides	0.294	Lipids and lipid-like molecules	0.889	Fatty Acyls	0.820	Fatty acid esters	0.542			Fatty acid esters	0.542	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	909.699	495	8.251	703064003917855507	703045729468876758	2757	
3	C29H55N5O4	[M + K]+	C29H55KN5O4+	Amino acids and Peptides	0.989	Oligopeptides	0.970	Linear peptides	0.291	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.991	Peptides	0.641	Peptides	0.641	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	576.384	495	8.258	703064005939510256	703045729649231850	2761	
1	C37H68O10	[M + H]+	C37H69O10+	Polyketides	0.619	Polyethers	0.409	Macrotetrolides	0.163	Lipids and lipid-like molecules	0.900							Lipids and lipid-like molecules	0.900	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	673.485	496	8.272	703064004345674574	703045729733117940	2764	
1	C30H51NO8	[M + H]+	C30H52NO8+	Polyketides	0.620	Macrolides	0.898	Open-chain polyketides	0.540	Phenylpropanoids and polyketides	0.482	Macrolides and analogues	0.680					Macrolides and analogues	0.680	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Ketones; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	554.371	497	8.282	703063992547096888	703045729775060985	2765	
2	C29H51NO6	[M + Na]+	C29H51NNaO6+	Polyketides	0.394	Linear polyketides	0.851	Open-chain polyketides	0.833	Lipids and lipid-like molecules	0.670	Fatty Acyls	0.548					Fatty Acyls	0.548	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	532.358	497	8.282	703064012730088872	703045729858947075	2767	
1	C33H59NO4	[M + Na]+	C33H59NNaO4+	Alkaloids	0.412	Pseudoalkaloids (transamidation)	0.332	Open-chain polyketides	0.333	Lipids and lipid-like molecules	0.503							Lipids and lipid-like molecules	0.503	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	556.435	498	8.299	703064013434732016	703045729900890120	2768	
1	C45H84N6O14	[M + H]+	C45H85N6O14+	Amino acids and Peptides	0.772	Oligopeptides	0.996	Lipopeptides	0.636	Organic acids and derivatives	0.999	Peptidomimetics	0.843	Depsipeptides	0.744	Cyclic depsipeptides	0.727	Cyclic depsipeptides	0.727	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	933.611	498	8.304	703064024159567835	703045729947027469	2769	
1	C29H43N5O3	[M + H]+	C29H44N5O3+	Amino acids and Peptides	0.660	Oligopeptides	0.401	Cyclic peptides	0.045	Organic acids and derivatives	0.969	Carboxylic acids and derivatives	0.956	Amino acids, peptides, and analogues	0.922	Amino acids and derivatives	0.915	Alpha amino acids and derivatives	0.806	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	510.345	499	8.313	703064014877572767	703045729984776210	2770	
2	C42H70N4O8	[M + H]+	C42H71N4O8+	Amino acids and Peptides	0.753	Oligopeptides	0.987	Microcolins and mirabimids	0.355	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.987	Amino acids and derivatives	0.984	Alpha amino acid esters	0.791	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	759.522	499	8.315	703064012432293240	703045730030913559	2771	
1	C39H72O7	[M + Na]+	C39H72NaO7+	Fatty acids	1.000	Glycerolipids	1.000	Diacylglycerols	0.999	Lipids and lipid-like molecules	0.996	Glycerolipids	1.000	Diradylglycerols	0.989	Diacylglycerols	0.991	1,2-diacylglycerols	0.989	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Fatty alcohols; 1,2-diacylglycerols; Secondary alcohols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	675.517	499	8.321	703064017197023019	703045730068662300	2772	
1	C39H72O7	[M + H]+	C39H73O7+	Fatty acids	1.000	Glycerolipids	1.000	Diacylglycerols	0.999	Lipids and lipid-like molecules	0.999	Fatty Acyls	0.999	Lineolic acids and derivatives	0.647			Lineolic acids and derivatives	0.647	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Lineolic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Fatty alcohols; 1,2-diacylglycerols; Secondary alcohols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	653.535	499	8.321	703064015531884256	703045730110605345	2773	
2	C22H42O4	[M + Na]+	C22H42NaO4+	Fatty acids	0.996	Fatty esters	0.926	Monoacylglycerols	0.602	Lipids and lipid-like molecules	0.972	Fatty Acyls	0.978	Fatty alcohol esters	0.607			Fatty alcohol esters	0.607	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Fatty alcohol esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	393.298	500	8.330	703064051409961573	703045729691174895	2762	
1	C24H45N3O7	[M + H]+	C24H46N3O7+	Amino acids and Peptides	0.830	Oligopeptides	0.604	Tripeptides	0.162	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.927	Peptides	0.523	Peptides	0.523	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	488.332	500	8.337	703064058863239991	703045730152548390	2774	
